ID,datetime,temperature,pressure,windspeed,electricity_consumption
528,2013-07-23 00:00:00,-9.3,1009.0,90.395,192.0
529,2013-07-23 01:00:00,-8.6,1007.0,97.945,216.0
530,2013-07-23 02:00:00,-10.7,995.0,104.97,210.0
531,2013-07-23 03:00:00,-11.4,1010.0,108.725,198.0
532,2013-07-23 04:00:00,-9.3,1009.0,115.625,204.0
533,2013-07-23 05:00:00,-10.0,995.0,122.4,201.0
534,2013-07-23 06:00:00,-11.4,1001.0,127.945,189.0
535,2013-07-23 07:00:00,-10.0,996.0,133.255,207.0
536,2013-07-23 08:00:00,-10.7,1005.0,140.405,198.0
537,2013-07-23 09:00:00,-10.0,1002.0,148.08,204.0
538,2013-07-23 10:00:00,-8.6,1005.0,156.88,204.0
539,2013-07-23 11:00:00,-8.6,993.0,164.055,216.0
540,2013-07-23 12:00:00,-5.7,1007.0,173.87,201.0
541,2013-07-23 13:00:00,-6.4,1003.0,181.795,198.0
542,2013-07-23 14:00:00,-5.0,992.0,193.1,192.0
543,2013-07-23 15:00:00,-6.4,1001.0,201.15,216.0
544,2013-07-23 16:00:00,-6.4,1003.0,208.05,207.0
545,2013-07-23 17:00:00,-4.3,1004.0,214.7,210.0
546,2013-07-23 18:00:00,-5.0,1006.0,221.725,189.0
547,2013-07-23 19:00:00,-6.4,1007.0,228.75,216.0
548,2013-07-23 20:00:00,-7.9,1010.0,238.69,219.0
549,2013-07-23 21:00:00,-7.1,1013.0,245.865,201.0
550,2013-07-23 22:00:00,-7.9,1005.0,251.55,207.0
551,2013-07-23 23:00:00,-10.0,1006.0,256.47,216.0
