datetime,temperature,pressure,windspeed,electric_consumption
2013-07-24 00:00:00,-10.0,1011.0,263.28,175.0
2013-07-24 01:00:00,-10.0,1011.0,267.18,175.0
2013-07-24 02:00:00,-10.7,1003.0,269.56,175.0
2013-07-24 03:00:00,-13.6,1008.0,273.06,175.0
2013-07-24 04:00:00,-10.7,1006.0,1.76,283.0
2013-07-24 05:00:00,-10.7,1009.0,2.92,276.0
2013-07-24 06:00:00,-12.1,997.0,6.3,293.0
2013-07-24 07:00:00,-15.7,1003.0,8.68,269.0
2013-07-24 08:00:00,-12.9,996.0,12.18,286.0
2013-07-24 09:00:00,-10.0,999.0,2.14,298.0
2013-07-24 10:00:00,-8.6,1005.0,5.0,285.0
2013-07-24 11:00:00,-7.9,1012.0,4.13,272.0
2013-07-24 12:00:00,-5.7,1004.0,5.54,293.0
2013-07-24 13:00:00,-5.7,994.0,2.39,320.0
2013-07-24 14:00:00,-3.6,998.0,4.88,312.0
2013-07-24 15:00:00,-5.0,997.0,2.39,314.0
2013-07-24 16:00:00,-3.6,993.0,3.76,326.0
2013-07-24 17:00:00,-4.3,991.0,7.88,323.0
2013-07-24 18:00:00,-7.1,1011.0,10.39,263.0
2013-07-24 19:00:00,-7.1,1008.0,1.52,283.0
2013-07-24 20:00:00,-10.0,994.0,2.39,305.0
2013-07-24 21:00:00,-7.9,996.0,3.66,304.0
2013-07-24 22:00:00,-11.4,992.0,4.54,303.0
2013-07-24 23:00:00,-10.7,1001.0,4.94,284.0
